time,network_bandwidth,network_latency,quality,bitrate,download_size,download_time,buffer_level,rebuffer_time,is_bola
0,1255,98,0,230,0,0,0,0,False
804,1255,98,0,230,886360,804,3000,0,False
3101,1255,98,4,991,2760272,2297,3702,0,False
4986,1255,98,4,991,2243080,1885,4817,0,False
8087,1255,98,4,991,3768472,3100,4716,0,False
10268,1255,98,4,991,2614184,2181,5535,0,False
12387,1255,98,4,991,2535760,2118,6416,0,False
15131,1255,98,4,991,3320728,2743,6672,0,False
18348,1255,98,4,991,3914304,3216,6455,0,False
20361,1255,98,4,991,2403848,2013,7442,0,False
22766,1255,98,4,991,2894792,2404,8037,0,False
25385,1255,98,4,991,3164568,2619,8418,0,False
27844,1255,98,4,991,2963000,2458,8959,0,False
30368,3775,202,0,230,623576,367,3000,367,False
31319,3775,202,4,991,2830112,951,5048,0,False
32473,3775,202,4,991,3594504,1154,6894,0,False
33432,3775,202,4,991,2854856,958,8935,0,False
34715,3775,202,5,1427,4080792,1283,10652,0,False
36458,3775,202,6,2056,5819128,1743,11909,0,True
39014,3775,202,7,2962,8883944,2555,12354,0,True
41444,3775,202,7,2962,8413056,2430,12923,0,True
44349,3775,202,7,2962,10202872,2904,13018,0,True
46459,3775,202,7,2962,7203664,2110,13908,0,True
49311,3775,202,7,2962,10003776,2852,14056,0,True
53024,3775,202,8,5027,13254008,3712,13343,0,True
57014,3775,202,8,5027,14298592,3989,12353,0,True
59060,3775,202,6,2056,6960632,2045,13307,0,True
61405,2354,63,6,2056,6001832,2345,13962,0,True
63104,2354,63,5,1427,3850696,1698,15263,0,True
65706,2354,63,6,2056,5977888,2602,15661,0,True
67832,2354,63,5,1427,4855032,2125,16535,0,True
70521,2354,63,6,2056,6181608,2689,16846,0,True
72568,2354,63,6,2056,4671576,2047,17799,0,True
77064,2354,63,7,2962,10434296,4495,16303,0,True
79495,2354,63,6,2056,5574976,2431,16872,0,True
82616,2354,63,6,2056,7198488,3120,16751,0,True
84810,2354,63,6,2056,5015856,2193,17557,0,True
