time,network_bandwidth,network_latency,quality,bitrate,download_size,download_time,buffer_level,rebuffer_time,is_bola
0,1255,98,0,230,0,0,0,0,False
804,1255,98,0,230,886360,804,3000,0,False
3101,1255,98,4,991,2760272,2297,3702,0,False
4986,1255,98,4,991,2243080,1885,4817,0,False
8087,1255,98,4,991,3768472,3100,4716,0,False
10268,1255,98,4,991,2614184,2181,5535,0,False
13282,1255,98,5,1427,3659008,3013,5521,0,False
16026,1255,98,4,991,3320728,2743,5777,0,False
19243,1255,98,4,991,3914304,3216,5560,0,False
21256,1255,98,4,991,2403848,2013,6547,0,False
23661,1255,98,4,991,2894792,2404,7142,0,False
26280,1255,98,4,991,3164568,2619,7523,0,False
28739,1255,98,4,991,2963000,2458,8064,0,False
30748,3775,202,5,1427,4282760,2008,9056,0,False
31597,3775,202,4,991,2444608,849,3000,849,False
32549,3775,202,4,991,2830112,951,5048,0,False
33703,3775,202,4,991,3594504,1154,6894,0,False
34998,3775,202,5,1427,4127312,1295,8598,0,False
36777,3775,202,6,2056,5950360,1778,9820,0,False
39241,3775,202,7,2962,8541704,2464,10355,0,False
41797,3775,202,7,2962,8883944,2555,10800,0,False
44227,3775,202,7,2962,8413056,2430,11369,0,False
47132,3775,202,7,2962,10202872,2904,11465,0,False
49242,3775,202,7,2962,7203664,2110,12354,0,False
52094,3775,202,7,2962,10003776,2852,12502,0,False
55807,3775,202,8,5027,13254008,3712,11789,0,False
58116,3775,202,7,2962,7951880,2308,12481,0,False
64909,2354,63,8,5027,17905600,6793,8688,0,False
67522,2354,63,6,2056,6001832,2612,9075,0,False
69967,2354,63,6,2056,5608872,2445,9629,0,False
72570,2354,63,6,2056,5977888,2602,10027,0,False
77000,2354,63,7,2962,10279704,4429,8597,0,False
79689,2354,63,6,2056,6181608,2689,8908,0,False
81736,2354,63,6,2056,4671576,2047,9860,0,False
86232,2354,63,7,2962,10434296,4495,8365,0,False
88663,2354,63,6,2056,5574976,2431,8933,0,False
91330,3157,58,6,2056,7198488,2667,9266,0,False
