time,network_bandwidth,network_latency,quality,bitrate,download_size,download_time,buffer_level,rebuffer_time,is_bola
0,1255,98,0,230,0,0,0,0,False
804,1255,98,0,230,886360,804,3000,0,False
1207,1255,98,0,230,382840,403,5596,0,False
3951,1255,98,5,1427,3321576,2744,5852,0,False
8502,1255,98,5,1427,5587928,4550,4301,0,False
9310,1255,98,5,1427,890500,807,3494,0,False
10293,1255,98,2,477,1110960,983,5510,0,False
13306,1255,98,5,1427,3659008,3013,5497,0,False
17402,1255,98,5,1427,5017224,4095,4401,0,False
19185,1255,98,2,477,2114632,1782,5618,0,False
20705,1255,98,3,688,1783880,1519,7099,0,False
23109,1255,98,4,991,2894792,2404,7694,0,False
23704,1255,98,0,230,623576,594,3000,594,False
24347,1255,98,0,230,683456,642,5357,0,False
28504,1255,98,5,1427,5094560,4157,4200,0,False
28662,1255,98,5,1427,74750,157,4042,0,False
30344,3775,202,4,991,2854856,1681,5360,0,False
31627,3775,202,5,1427,4080792,1283,7077,0,False
33370,3775,202,6,2056,5819128,1743,8333,0,False
35215,3775,202,6,2056,6203648,1845,9488,0,False
36978,3775,202,6,2056,5889800,1762,10726,0,False
39882,3775,202,7,2962,10202872,2904,10821,0,False
41993,3775,202,7,2962,7203664,2110,11711,0,False
44845,3775,202,7,2962,10003776,2852,11859,0,False
47353,3775,202,7,2962,8705552,2508,12351,0,False
49661,3775,202,7,2962,7951880,2308,13042,0,False
52491,3775,202,7,2962,9918208,2829,13213,0,False
52696,3775,202,6,2056,12000,205,13008,0,False
54010,3775,202,5,1427,4198736,1314,14694,0,False
55698,3775,202,6,2056,5608872,1687,16006,0,False
57483,3775,202,6,2056,5977888,1785,17220,0,False
60655,2354,63,7,2962,10279704,3171,17048,0,False
64408,2354,63,7,2962,8686776,3753,16295,0,False
66456,2354,63,6,2056,4671576,2047,17248,0,False
70952,2354,63,7,2962,10434296,4495,15752,0,False
72670,2354,63,5,1427,3897096,1718,17033,0,False
77052,2354,63,7,2962,10167896,4382,15651,0,False
